,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
4653,54,Out for Justice,1991,6.1,38.0,19657,39673161.0,"Action, Crime, Drama",91.0,John Flynn,"Steven Seagal, William Forsythe, Jerry Orbach, Jo Champa",The gruesome murder of a Brooklyn Detective will turn the case into a personal vendetta when the deceased's best friend and fellow officer will unleash an all-out attack against a psychotic Mafia enforcer's brutal gang.
4654,55,Omohide poro poro,1991,7.7,90.0,19178,453243.0,"Animation, Drama, Romance",118.0,Isao Takahata,"Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka",A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.
4655,56,Problem Child 2,1991,4.7,,19007,25104700.0,"Comedy, Family",90.0,Brian Levant,"John Ritter, Michael Oliver, Jack Warden, Laraine Newman",Junior's back in his first adventure since his last! Junior and Ben move to Mortville which seems like the perfect town to live in. The Healys have a nice new house--and Junior get's a cool...                See full summary »
4656,57,Curly Sue,1991,5.8,,18887,33691313.0,"Comedy, Drama, Family",101.0,John Hughes,"Jim Belushi, Kelly Lynch, Alisan Porter, John Getz","A homeless man and his young companion, who survive by conning people, meet a woman who may need them even more than they need her."
4657,58,Europa,1991,7.7,,18130,1007001.0,"Drama, Thriller",112.0,Lars von Trier,"Barbara Sukowa, Jean-Marc Barr, Udo Kier, Ernst-Hugo Järegård","Just after W.W.II, an American takes a railway job in Germany, but finds his position politically sensitive with various people trying to use him."
4658,59,Toy Soldiers,1991,6.5,46.0,18123,15073942.0,"Action, Drama, Thriller",111.0,Daniel Petrie Jr.,"Sean Astin, Wil Wheaton, Keith Coogan, Andrew Divoff","When terrorists seize control of a boarding school, a group of troublemaking boys decide to resist them."
4659,60,White Fang,1991,6.7,62.0,17920,34793160.0,"Adventure, Drama",107.0,Randal Kleiser,"Ethan Hawke, Klaus Maria Brandauer, Seymour Cassel, Susan Hogan",Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.
4660,61,Harley Davidson and the Marlboro Man,1991,6.1,,16891,7434726.0,"Action, Crime, Drama",98.0,Simon Wincer,"Mickey Rourke, Don Johnson, Chelsea Field, Daniel Baldwin","Forced by the imminent foreclosure of their friend's bar, two lifelong buddies will decide to rob a bank's armoured car, not knowing that its cargo is not money but a new street drug."
4661,62,The Hard Way,1991,6.3,,16766,25895485.0,"Action, Comedy, Crime",111.0,John Badham,"Michael J. Fox, James Woods, Stephen Lang, Annabella Sciorra","An action movie star researching a role is allowed to tag along with a hardboiled New York City policeman, who finds him superficial and irritating."
4662,63,Fei ying gai wak,1991,7.3,,16674,10440032.0,"Action, Adventure, Comedy",106.0,Jackie Chan,"Jackie Chan, Carol 'Do Do' Cheng, Eva Cobo, Shôko Ikeda","Jackie is hired to help the UN find Nazi gold hidden in Sahara. He's accompanied from Spain by 2 (later 3) cute women. As there are others wanting the gold, lots of kung fu fighting and comedy follows."
4663,64,Return to the Blue Lagoon,1991,5.2,,16563,2807854.0,"Adventure, Drama, Romance",102.0,William A. Graham,"Brian Krause, Milla Jovovich, Lisa Pelikan, Courtney Barilla","In this sequel to The Blue Lagoon (1980), two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become suntanned teenagers in love."
4664,65,Wong Fei Hung,1991,7.4,,15815,,"Action, Adventure, Biography",134.0,Hark Tsui,"Jet Li, Rosamund Kwan, Biao Yuen, Jacky Cheung","Set in late 19th century Canton this martial arts film depicts the stance taken by the legendary martial arts hero Wong Fei-Hung (1847-1924) against foreign forces' (English, French and ...                See full summary »"
4665,66,Defending Your Life,1991,7.3,,15375,16371128.0,"Comedy, Drama, Fantasy",112.0,Albert Brooks,"Albert Brooks, Meryl Streep, Rip Torn, Michael Durrell","In an afterlife way station resembling a block of hotels, the lives of the recently-deceased are examined in a court-like setting."
4666,67,Jungle Fever,1991,6.5,,15351,32482682.0,"Drama, Romance",132.0,Spike Lee,"Wesley Snipes, Annabella Sciorra, Spike Lee, Ossie Davis",Friends and family of a married black architect react in different ways to his affair with an Italian secretary.
4667,68,Shadows and Fog,1991,6.7,,14924,2735731.0,Comedy,85.0,Woody Allen,"Woody Allen, Mia Farrow, Michael Kirby, David Ogden Stiers","With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer."
4668,69,Showdown in Little Tokyo,1991,6.1,,14801,2275557.0,"Action, Comedy, Crime",79.0,Mark L. Lester,"Dolph Lundgren, Brandon Lee, Cary-Hiroyuki Tagawa, Tia Carrere","Two cops have to work together to bring down the Yakuza, while trying to protect a beautiful woman."
4669,70,Ricochet,1991,6.1,,14620,21760000.0,"Action, Crime, Drama",102.0,Russell Mulcahy,"Denzel Washington, John Lithgow, Ice-T, Kevin Pollak",A District Attorney is terrorized by the criminal he put away years ago when he was a cop.
4670,71,The Prince of Tides,1991,6.7,65.0,14514,74787599.0,"Drama, Romance",132.0,Barbra Streisand,"Barbra Streisand, Nick Nolte, Blythe Danner, Kate Nelligan",A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.
4671,72,King Ralph,1991,5.2,,14088,34002045.0,"Comedy, Romance",97.0,David S. Ward,"John Goodman, Peter O'Toole, John Hurt, Camille Coduri","As the only relative to take over the Royal throne, a down on his luck American slob must learn the ways of the English."
4672,73,The Man in the Moon,1991,7.4,,14014,2853801.0,"Drama, Romance",99.0,Robert Mulligan,"Sam Waterston, Tess Harper, Gail Strickland, Reese Witherspoon",A coming of age story set in the south of the U.S. when Elvis was King.
4673,74,Grand Canyon,1991,6.9,64.0,13933,33243020.0,"Crime, Drama",134.0,Lawrence Kasdan,"Danny Glover, Kevin Kline, Steve Martin, Mary McDonnell",The fates of several people are intertwining randomly. Their sympathy of each other faces multiple differences in their lifestyles.
4674,75,Dying Young,1991,6.0,,13620,33669178.0,"Drama, Romance",111.0,Joel Schumacher,"Julia Roberts, Campbell Scott, Vincent D'Onofrio, Colleen Dewhurst","After she discovers that her boyfriend has betrayed her, Hilary O'Neil is looking for a new start and a new job. She begins to work as a private nurse for a young man suffering from blood ...                See full summary »"
4675,76,Soapdish,1991,6.5,65.0,13115,36489888.0,"Comedy, Romance",97.0,Michael Hoffman,"Sally Field, Kevin Kline, Cathy Moriarty, Teri Hatcher","An ambitious television soap actress connives with her producer to scuttle the career of the show's long-time star, but nothing works as they plan."
4676,77,Little Man Tate,1991,6.7,71.0,12914,25010896.0,Drama,99.0,Jodie Foster,"Jodie Foster, Dianne Wiest, Adam Hann-Byrd, Alex Lee","Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that ...                See full summary »"
